# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the chemical potential, mu =       -7.049617 eV
#  aims_uuid : D22AE5DF-1E78-486A-A5C9-0195B923D788                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
         -9.98038342          0.00000000          0.00000000
         -9.97538342          0.00000000          0.00000000
         -9.97038342          0.00000000          0.00000000
         -9.96538342          0.00000000          0.00000000
         -9.96038342          0.00000000          0.00000000
         -9.95538342          0.00000000          0.00000000
         -9.95038342          0.00000000          0.00000000
         -9.94538342          0.00000000          0.00000000
         -9.94038342          0.00000000          0.00000000
         -9.93538342          0.00000000          0.00000000
         -9.93038342          0.00000000          0.00000000
         -9.92538342          0.00000000          0.00000000
         -9.92038342          0.00000000          0.00000000
         -9.91538342          0.00000000          0.00000000
         -9.91038342          0.00000000          0.00000000
         -9.90538342          0.00000000          0.00000000
         -9.90038342          0.00000000          0.00000000
         -9.89538342          0.00000000          0.00000000
         -9.89038342          0.00000000          0.00000000
         -9.88538342          0.00000000          0.00000000
         -9.88038342          0.00000000          0.00000000
         -9.87538342          0.00000000          0.00000000
         -9.87038342          0.00000000          0.00000000
         -9.86538342          0.00000000          0.00000000
         -9.86038342          0.00000000          0.00000000
         -9.85538342          0.00000000          0.00000000
         -9.85038342          0.00000000          0.00000000
         -9.84538342          0.00000000          0.00000000
         -9.84038342          0.00000000          0.00000000
         -9.83538342          0.00000000          0.00000000
         -9.83038342          0.00000000          0.00000000
         -9.82538342          0.00000000          0.00000000
         -9.82038342          0.00000000          0.00000000
         -9.81538342          0.00000000          0.00000000
         -9.81038342          0.00000000          0.00000000
         -9.80538342          0.00000000          0.00000000
         -9.80038342          0.00000000          0.00000000
         -9.79538342          0.00000000          0.00000000
         -9.79038342          0.00000000          0.00000000
         -9.78538342          0.00000000          0.00000000
         -9.78038342          0.00000000          0.00000000
         -9.77538342          0.00000000          0.00000000
         -9.77038342          0.00000000          0.00000000
         -9.76538342          0.00000000          0.00000000
         -9.76038342          0.00000000          0.00000000
         -9.75538342          0.00000000          0.00000000
         -9.75038342          0.00000000          0.00000000
         -9.74538342          0.00000000          0.00000000
         -9.74038342          0.00000000          0.00000000
         -9.73538342          0.00000000          0.00000000
         -9.73038342          0.00000000          0.00000000
         -9.72538342          0.00000000          0.00000000
         -9.72038342          0.00000000          0.00000000
         -9.71538342          0.00000000          0.00000000
         -9.71038342          0.00000000          0.00000000
         -9.70538342          0.00000000          0.00000000
         -9.70038342          0.00000000          0.00000000
         -9.69538342          0.00000000          0.00000000
         -9.69038342          0.00000000          0.00000000
         -9.68538342          0.00000000          0.00000000
         -9.68038342          0.00000000          0.00000000
         -9.67538342          0.00000000          0.00000000
         -9.67038342          0.00000000          0.00000000
         -9.66538342          0.00000000          0.00000000
         -9.66038342          0.00000000          0.00000000
         -9.65538342          0.00000000          0.00000000
         -9.65038342          0.00000000          0.00000000
         -9.64538342          0.00000000          0.00000000
         -9.64038342          0.00000000          0.00000000
         -9.63538342          0.00000000          0.00000000
         -9.63038342          0.00000000          0.00000000
         -9.62538342          0.00000000          0.00000000
         -9.62038342          0.00000000          0.00000000
         -9.61538342          0.00000000          0.00000000
         -9.61038342          0.00000000          0.00000000
         -9.60538342          0.00000000          0.00000000
         -9.60038342          0.00000000          0.00000000
         -9.59538342          0.00000000          0.00000000
         -9.59038342          0.00000000          0.00000000
         -9.58538342          0.00000000          0.00000000
         -9.58038342          0.00000000          0.00000000
         -9.57538342          0.00000000          0.00000000
         -9.57038342          0.00000000          0.00000000
         -9.56538342          0.00000000          0.00000000
         -9.56038342          0.00000000          0.00000000
         -9.55538342          0.00000000          0.00000000
